INDEX,NOTICE,WIN,TIME,RATE,CONDITION
INT,STRING,INT,INT,INT,STRING
1,今天天气不错，挺风和日丽的,1,3,10,1#1#100
2,上面的空气不错哦,1,3,30,1#1#100
3,我是天才我怕谁，你来打我啊！,1,3,40,1#1#100
4,我排名这么高，丈母娘都为我骄傲,1,3,50,1#1#100
5,看什么看？一百块都不给我,1,3,50,1#1#100
6,你瞅啥？再瞅我弄你，信不？,1,3,50,1#1#100
7,来吧，我已经摩拳擦掌，跃跃欲试了！,1,3,60,1#1#100
8,我装备精炼的很高哦,1,3,20,1#30#100
9,我神器精炼的很高哦,1,3,20,1#40#100
10,我装备强化的很厉害哦,1,3,20,1#15#35
11,我有高品质符灵哦！,1,3,20,1#10#30
12,我的符灵升过级哦！,1,3,20,1#10#30
13,我每天都会被自己帅醒哦！,1,3,20,1#10#35
14,第一名的元宝亮晶晶，你猜我拿到了没有？,1,3,20,1#10#35
15,请挑战我吧，我已经准备好了！,1,3,20,1#10#100
16,首充送的武器真好呀，我已经这么厉害了,1,3,20,2#0#0
17,听说V2的礼包里有主角缘分武器哦！,1,3,20,2#0#1
18,V3的夺5次真好用！,1,3,20,2#0#2
19,充30就能来一次十连抽了哦！,1,3,20,2#0#1
20,我是不是装备精炼的不够高啊！,0,3,40,1#0#50
21,呜呜我为什么打不过你！,0,3,50,1#0#100
22,哼哼凭什么你在我前面,0,3,50,1#0#100
23,等着我努力打赢你的！,0,3,50,1#0#100
24,少侠你充了多少钱啊,0,3,50,1#0#100
